idioma,cod_pais,pais,parametro,0a4,5a9,10a14,15a19,20a24,25a29,30a34,35a39,40a44,45a49,50a54,55a59,60a64,65a69,70a74,75_mas
esp,cl,Chile,pobl_migrante_cant,32.286,68.658,64.013,66.351,187.442,293.228,280.24,208.156,150.585,100.523,69.573,47.708,29.62,18.321,10.656,17.655
esp,co,Colombia,pobl_migrante_cant,213.854,220.114,158.165,166.013,260.246,258.656,192.659,143.64,90.642,61.949,42.481,28.159,19.403,13.911,9.12,26.381
esp,ec,Ecuador,pobl_migrante_cant,79.871,91.047,91.525,70.731,59.646,66.578,65.711,58.866,52.616,44.975,36.309,27.852,15.45,10.909,5.269,7.432
esp,uy,Uruguay,pobl_migrante_cant,8.748,8.503,7.772,7.056,6.892,8.615,8.68,7.466,6.38,5.661,5.081,4.656,3.849,3.369,4.94,10.599
eng,cl,Chile,migr_stock_quant,32.286,68.658,64.013,66.351,187.442,293.228,280.24,208.156,150.585,100.523,69.573,47.708,29.62,18.321,10.656,17.655
eng,co,Colombia,migr_stock_quant,213.854,220.114,158.165,166.013,260.246,258.656,192.659,143.64,90.642,61.949,42.481,28.159,19.403,13.911,9.12,26.381
eng,ec,Ecuador,migr_stock_quant,79.871,91.047,91.525,70.731,59.646,66.578,65.711,58.866,52.616,44.975,36.309,27.852,15.45,10.909,5.269,7.432
eng,uy,Uruguay,migr_stock_quant,8.748,8.503,7.772,7.056,6.892,8.615,8.68,7.466,6.38,5.661,5.081,4.656,3.849,3.369,4.94,10.599
